year,id,name,us_works_count,fetch_date
2020,2204,Biomedical Engineering,56203,2025-11-20 11:02:29
2020,1702,Artificial Intelligence,50942,2025-11-20 11:02:29
2020,2208,Electrical and Electronic Engineering,50915,2025-11-20 11:02:29
2020,2505,Materials Chemistry,37246,2025-11-20 11:02:29
2020,2303,Ecology,29470,2025-11-20 11:02:29
2020,2306,Global and Planetary Change,27321,2025-11-20 11:02:29
2020,1312,Molecular Biology,26824,2025-11-20 11:02:29
2020,2210,Mechanical Engineering,25827,2025-11-20 11:02:29
2021,2304,Environmental Chemistry,90220,2025-11-20 11:02:29
2021,1908,Geophysics,86270,2025-11-20 11:02:29
2021,1702,Artificial Intelligence,53783,2025-11-20 11:02:29
2021,2208,Electrical and Electronic Engineering,49109,2025-11-20 11:02:29
2021,2204,Biomedical Engineering,47882,2025-11-20 11:02:29
2021,2505,Materials Chemistry,32159,2025-11-20 11:02:29
2021,2303,Ecology,29314,2025-11-20 11:02:29
2021,2306,Global and Planetary Change,27654,2025-11-20 11:02:29
2021,3103,Astronomy and Astrophysics,25393,2025-11-20 11:02:29
2021,1312,Molecular Biology,25321,2025-11-20 11:02:29
2022,1908,Geophysics,158168,2025-11-20 11:02:29
2022,2304,Environmental Chemistry,81166,2025-11-20 11:02:29
2022,3103,Astronomy and Astrophysics,49410,2025-11-20 11:02:29
2022,2208,Electrical and Electronic Engineering,46098,2025-11-20 11:02:29
2022,2204,Biomedical Engineering,46061,2025-11-20 11:02:29
2022,1702,Artificial Intelligence,44068,2025-11-20 11:02:29
2022,2505,Materials Chemistry,29825,2025-11-20 11:02:29
2022,2303,Ecology,27265,2025-11-20 11:02:29
2022,2306,Global and Planetary Change,26365,2025-11-20 11:02:29
2022,1312,Molecular Biology,23962,2025-11-20 11:02:29
2023,3103,Astronomy and Astrophysics,107024,2025-11-20 11:02:29
2023,1910,Oceanography,100817,2025-11-20 11:02:29
2023,3106,Nuclear and High Energy Physics,50561,2025-11-20 11:02:29
2023,2208,Electrical and Electronic Engineering,49170,2025-11-20 11:02:29
2023,2304,Environmental Chemistry,47571,2025-11-20 11:02:29
2023,2204,Biomedical Engineering,47139,2025-11-20 11:02:29
2023,1702,Artificial Intelligence,44906,2025-11-20 11:02:29
2023,2505,Materials Chemistry,31601,2025-11-20 11:02:29
2023,2306,Global and Planetary Change,26560,2025-11-20 11:02:29
2023,2303,Ecology,26194,2025-11-20 11:02:29
2024,3103,Astronomy and Astrophysics,61816,2025-11-20 11:02:29
2024,1910,Oceanography,53725,2025-11-20 11:02:29
2024,2204,Biomedical Engineering,41445,2025-11-20 11:02:29
2024,3106,Nuclear and High Energy Physics,40084,2025-11-20 11:02:29
2024,2208,Electrical and Electronic Engineering,38054,2025-11-20 11:02:29
2024,1702,Artificial Intelligence,37054,2025-11-20 11:02:29
2024,2505,Materials Chemistry,25941,2025-11-20 11:02:29
2024,2303,Ecology,20155,2025-11-20 11:02:29
2024,2210,Mechanical Engineering,19707,2025-11-20 11:02:29
2024,1312,Molecular Biology,19315,2025-11-20 11:02:29
2025,2204,Biomedical Engineering,27715,2025-11-20 11:02:29
2025,1702,Artificial Intelligence,25223,2025-11-20 11:02:29
2025,2208,Electrical and Electronic Engineering,24311,2025-11-20 11:02:29
2025,2505,Materials Chemistry,17699,2025-11-20 11:02:29
2025,1312,Molecular Biology,14205,2025-11-20 11:02:29
2025,2303,Ecology,13495,2025-11-20 11:02:29
2025,2306,Global and Planetary Change,11192,2025-11-20 11:02:29
2025,2210,Mechanical Engineering,10916,2025-11-20 11:02:29
2025,3107,"Atomic and Molecular Physics, and Optics",10381,2025-11-20 11:02:29
2025,2202,Aerospace Engineering,9592,2025-11-20 11:02:29
